,Others,Iota,Omicron,Delta,Alpha
2020-03-06,2.0,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,0.0
2020-03-08,3.0,0.0,0.0,0.0,0.0
2020-03-09,4.0,0.0,0.0,0.0,0.0
2020-03-10,8.0,0.0,0.0,0.0,0.0
2020-03-11,19.0,0.0,0.0,0.0,0.0
2020-03-12,29.0,0.0,0.0,0.0,0.0
2020-03-13,79.0,0.0,0.0,0.0,0.0
2020-03-14,86.0,0.0,0.0,0.0,0.0
2020-03-15,119.0,0.0,0.0,0.0,0.0
2020-03-16,305.0,0.0,0.0,0.0,0.0
2020-03-17,343.0,0.0,0.0,0.0,0.0
2020-03-18,482.0,0.0,0.0,0.0,0.0
2020-03-19,623.0,0.0,0.0,0.0,0.0
2020-03-20,723.0,0.0,0.0,0.0,0.0
2020-03-21,491.0,0.0,0.0,0.0,0.0
2020-03-22,495.0,0.0,0.0,0.0,0.0
2020-03-23,730.0,0.0,0.0,0.0,0.0
2020-03-24,927.0,0.0,0.0,0.0,0.0
2020-03-25,1068.0,0.0,0.0,0.0,0.0
2020-03-26,998.0,0.0,0.0,0.0,0.0
2020-03-27,1090.0,0.0,0.0,0.0,0.0
2020-03-28,761.0,0.0,0.0,0.0,0.0
2020-03-29,699.0,0.0,0.0,0.0,0.0
2020-03-30,1315.0,0.0,0.0,0.0,0.0
2020-03-31,1282.0,0.0,0.0,0.0,0.0
2020-04-01,1240.0,0.0,0.0,0.0,0.0
2020-04-02,1289.0,0.0,0.0,0.0,0.0
2020-04-03,1452.0,0.0,0.0,0.0,0.0
2020-04-04,1012.0,0.0,0.0,0.0,0.0
2020-04-05,822.0,0.0,0.0,0.0,0.0
2020-04-06,1514.0,0.0,0.0,0.0,0.0
2020-04-07,1463.0,0.0,0.0,0.0,0.0
2020-04-08,1305.0,0.0,0.0,0.0,0.0
2020-04-09,1285.0,0.0,0.0,0.0,0.0
2020-04-10,1227.0,0.0,0.0,0.0,0.0
2020-04-11,998.0,0.0,0.0,0.0,0.0
2020-04-12,763.0,0.0,0.0,0.0,0.0
2020-04-13,693.0,0.0,0.0,0.0,0.0
2020-04-14,1076.0,0.0,0.0,0.0,0.0
2020-04-15,1068.0,0.0,0.0,0.0,0.0
2020-04-16,940.0,0.0,0.0,0.0,0.0
2020-04-17,916.0,0.0,0.0,0.0,0.0
2020-04-18,552.0,0.0,0.0,0.0,0.0
2020-04-19,532.0,0.0,0.0,0.0,0.0
2020-04-20,981.0,0.0,0.0,0.0,0.0
2020-04-21,641.0,0.0,0.0,0.0,0.0
2020-04-22,927.0,0.0,0.0,0.0,0.0
2020-04-23,735.0,0.0,0.0,0.0,0.0
2020-04-24,579.0,0.0,0.0,0.0,0.0
2020-04-25,418.0,0.0,0.0,0.0,0.0
2020-04-26,196.0,0.0,0.0,0.0,0.0
2020-04-27,551.0,0.0,0.0,0.0,0.0
2020-04-28,668.0,0.0,0.0,0.0,0.0
2020-04-29,557.0,0.0,0.0,0.0,0.0
2020-04-30,482.0,0.0,0.0,0.0,0.0
