date_of_interest,BX_CASE_COUNT,BK_CASE_COUNT,MN_CASE_COUNT,QN_CASE_COUNT,SI_CASE_COUNT
02/29/2020,0,0,1,0,0
03/01/2020,0,0,0,0,0
03/02/2020,0,0,0,0,0
03/03/2020,0,0,0,1,0
03/04/2020,0,1,2,2,0
03/05/2020,0,3,0,0,0
03/06/2020,2,1,3,1,1
03/07/2020,0,2,1,3,1
03/08/2020,3,5,6,6,1
03/09/2020,4,16,24,10,3
03/10/2020,8,11,24,24,2
03/11/2020,19,31,62,40,3
03/12/2020,29,96,137,80,13
03/13/2020,79,166,182,166,26
03/14/2020,86,163,176,194,23
03/15/2020,119,432,205,231,47
03/16/2020,305,740,457,528,91
03/17/2020,343,783,567,650,108
03/18/2020,482,965,538,835,150
03/19/2020,623,1204,555,1065,258
03/20/2020,723,1136,653,1185,310
03/21/2020,491,554,399,947,248
03/22/2020,495,755,317,696,317
03/23/2020,730,909,530,1192,209
03/24/2020,927,1212,619,1389,350
03/25/2020,1068,1255,586,1571,394
03/26/2020,998,1372,626,1644,405
03/27/2020,1090,1426,656,1576,371
03/28/2020,761,863,388,1201,266
03/29/2020,699,1149,407,1075,230
03/30/2020,1315,1754,802,1859,398
03/31/2020,1282,1512,616,1811,237
04/01/2020,1240,1590,573,1781,264
04/02/2020,1289,1610,652,1826,369
04/03/2020,1452,1440,671,1762,345
04/04/2020,1012,920,385,1203,345
04/05/2020,822,1144,356,1136,323
04/06/2020,1514,1461,721,1927,730
04/07/2020,1463,1397,605,1949,630
04/08/2020,1305,1305,546,1857,562
04/09/2020,1285,1369,558,1560,298
04/10/2020,1227,1145,495,1342,301
04/11/2020,998,1131,304,987,311
04/12/2020,763,703,252,916,253
04/13/2020,693,1066,393,974,185
04/14/2020,1076,1038,440,1300,290
04/15/2020,1068,882,429,1180,317
04/16/2020,940,885,355,1139,211
04/17/2020,916,962,330,1099,279
04/18/2020,552,575,187,705,153
04/19/2020,532,635,176,866,134
04/20/2020,981,983,381,1223,224
04/21/2020,641,896,371,937,216
04/22/2020,927,854,382,1109,173
04/23/2020,735,786,400,793,127
04/24/2020,579,630,408,775,143
04/25/2020,418,404,145,540,88
04/26/2020,196,332,98,331,46
04/27/2020,551,607,302,723,107
04/28/2020,668,709,323,896,130
04/29/2020,557,683,285,691,124
04/30/2020,482,600,217,593,130
05/01/2020,450,497,240,622,78
05/02/2020,263,263,138,333,61
05/03/2020,153,245,103,251,35
05/04/2020,349,461,214,437,89
05/05/2020,294,432,242,462,82
05/06/2020,279,450,165,443,60
05/07/2020,298,403,119,358,60
05/08/2020,250,344,99,344,42
05/09/2020,175,119,75,256,32
05/10/2020,75,188,95,85,14
05/11/2020,226,410,192,376,27
05/12/2020,355,400,163,314,53
05/13/2020,461,362,156,307,47
05/14/2020,255,332,149,332,42
05/15/2020,181,259,135,265,33
05/16/2020,108,165,51,136,25
05/17/2020,56,138,50,106,10
05/18/2020,187,266,128,275,38
05/19/2020,182,327,165,287,42
05/20/2020,278,323,164,256,56
05/21/2020,199,336,145,311,78
05/22/2020,264,350,153,237,32
05/23/2020,90,143,47,138,37
05/24/2020,101,161,69,121,15
05/25/2020,103,160,69,116,16
05/26/2020,283,313,127,269,58
05/27/2020,184,242,107,165,43
05/28/2020,119,219,97,181,30
05/29/2020,164,161,74,212,27
05/30/2020,82,101,38,110,15
05/31/2020,30,84,25,79,12
06/01/2020,158,250,77,158,43
06/02/2020,123,178,72,163,34
06/03/2020,116,131,75,148,45
06/04/2020,127,127,86,148,29
06/05/2020,108,131,52,103,8
06/06/2020,50,58,33,99,7
06/07/2020,43,52,24,74,4
06/08/2020,96,111,75,146,19
06/09/2020,84,119,66,131,19
06/10/2020,75,99,67,108,14
06/11/2020,66,113,54,114,16
06/12/2020,80,122,58,131,18
06/13/2020,47,50,23,74,2
06/14/2020,27,53,28,68,4
06/15/2020,81,103,55,123,18
06/16/2020,80,132,67,120,20
06/17/2020,68,115,65,92,16
06/18/2020,60,112,58,123,25
06/19/2020,82,91,56,123,9
06/20/2020,53,46,44,54,6
06/21/2020,25,55,25,58,9
06/22/2020,92,110,63,119,18
06/23/2020,73,95,76,121,16
06/24/2020,90,101,73,103,14
06/25/2020,65,81,46,78,28
06/26/2020,66,95,63,77,16
06/27/2020,26,70,37,60,13
06/28/2020,35,57,41,57,11
06/29/2020,75,127,80,132,23
06/30/2020,77,127,94,114,29
07/01/2020,59,121,83,93,39
07/02/2020,76,127,79,117,17
07/03/2020,41,72,48,64,8
07/04/2020,21,23,32,32,12
07/05/2020,20,53,32,38,12
07/06/2020,68,142,76,117,28
07/07/2020,112,123,88,106,32
07/08/2020,83,121,120,88,25
07/09/2020,91,104,85,94,18
07/10/2020,65,90,47,91,13
07/11/2020,40,73,47,86,13
07/12/2020,44,55,42,69,13
07/13/2020,108,123,79,138,35
07/14/2020,70,111,81,121,19
07/15/2020,107,150,70,91,22
07/16/2020,94,90,83,109,35
07/17/2020,75,106,104,106,22
07/18/2020,54,58,36,49,19
07/19/2020,39,41,33,46,17
07/20/2020,95,85,80,109,32
07/21/2020,71,79,69,100,21
07/22/2020,79,95,58,76,20
07/23/2020,69,84,65,63,27
07/24/2020,73,68,54,75,28
07/25/2020,25,35,34,46,13
07/26/2020,30,40,18,33,19
07/27/2020,58,78,71,79,26
07/28/2020,58,106,58,73,18
07/29/2020,80,73,54,67,13
07/30/2020,58,99,44,61,12
07/31/2020,55,80,51,58,18
08/01/2020,37,58,33,54,7
08/02/2020,30,38,26,33,8
08/03/2020,96,93,56,84,19
08/04/2020,47,49,38,46,7
