CATCHMENT,NETWORK,YEAR,MMWR-YEAR,MMWR-WEEK,AGE CATEGORY,SEX,RACE,CUMULATIVE RATE,WEEKLY RATE
California,EIP,2020-22,2020,10,Overall,Overall,Overall,0.2,0.2
California,EIP,2020-22,2020,11,Overall,Overall,Overall,0.9,0.7
California,EIP,2020-22,2020,12,Overall,Overall,Overall,3,2.1
California,EIP,2020-22,2020,13,Overall,Overall,Overall,6.6,3.6
California,EIP,2020-22,2020,14,Overall,Overall,Overall,10.4,3.7
California,EIP,2020-22,2020,15,Overall,Overall,Overall,14.4,4
California,EIP,2020-22,2020,16,Overall,Overall,Overall,17.9,3.6
California,EIP,2020-22,2020,17,Overall,Overall,Overall,20.2,2.2
California,EIP,2020-22,2020,18,Overall,Overall,Overall,22.6,2.5
California,EIP,2020-22,2020,19,Overall,Overall,Overall,25.1,2.4
California,EIP,2020-22,2020,20,Overall,Overall,Overall,27.1,2.1
California,EIP,2020-22,2020,21,Overall,Overall,Overall,29.4,2.2
California,EIP,2020-22,2020,22,Overall,Overall,Overall,31.9,2.5
California,EIP,2020-22,2020,23,Overall,Overall,Overall,34.7,2.8
California,EIP,2020-22,2020,24,Overall,Overall,Overall,37,2.3
California,EIP,2020-22,2020,25,Overall,Overall,Overall,39.8,2.8
California,EIP,2020-22,2020,26,Overall,Overall,Overall,43.7,3.9
California,EIP,2020-22,2020,27,Overall,Overall,Overall,49.4,5.7
California,EIP,2020-22,2020,28,Overall,Overall,Overall,55.7,6.3
California,EIP,2020-22,2020,29,Overall,Overall,Overall,63,7.3
California,EIP,2020-22,2020,30,Overall,Overall,Overall,71.2,8.1
California,EIP,2020-22,2020,31,Overall,Overall,Overall,78.9,7.8
California,EIP,2020-22,2020,32,Overall,Overall,Overall,85.2,6.3
California,EIP,2020-22,2020,33,Overall,Overall,Overall,92.3,7.1
California,EIP,2020-22,2020,34,Overall,Overall,Overall,99.1,6.8
California,EIP,2020-22,2020,35,Overall,Overall,Overall,105.5,6.4
California,EIP,2020-22,2020,36,Overall,Overall,Overall,110.6,5.1
California,EIP,2020-22,2020,37,Overall,Overall,Overall,115.3,4.8
California,EIP,2020-22,2020,38,Overall,Overall,Overall,119.2,3.9
California,EIP,2020-22,2020,39,Overall,Overall,Overall,121.9,2.7
California,EIP,2020-22,2020,40,Overall,Overall,Overall,124.8,2.9
California,EIP,2020-22,2020,41,Overall,Overall,Overall,127,2.2
California,EIP,2020-22,2020,42,Overall,Overall,Overall,129.2,2.2
California,EIP,2020-22,2020,43,Overall,Overall,Overall,131.4,2.2
California,EIP,2020-22,2020,44,Overall,Overall,Overall,134.7,3.3
California,EIP,2020-22,2020,45,Overall,Overall,Overall,138.2,3.5
California,EIP,2020-22,2020,46,Overall,Overall,Overall,142.2,4
California,EIP,2020-22,2020,47,Overall,Overall,Overall,149,6.8
California,EIP,2020-22,2020,48,Overall,Overall,Overall,157.5,8.5
California,EIP,2020-22,2020,49,Overall,Overall,Overall,169.2,11.7
California,EIP,2020-22,2020,50,Overall,Overall,Overall,184.1,15
California,EIP,2020-22,2020,51,Overall,Overall,Overall,202.3,18.1
California,EIP,2020-22,2020,52,Overall,Overall,Overall,219.7,17.4
California,EIP,2020-22,2020,53,Overall,Overall,Overall,238.1,18.3
California,EIP,2020-22,2021,1,Overall,Overall,Overall,259.9,21.8
California,EIP,2020-22,2021,2,Overall,Overall,Overall,279.1,19.3
